date,name,type,value
1月27日,天津,河西区,1
1月26日,福建,福州市,4
1月26日,福建,泉州市,5
1月26日,福建,莆田市,8
1月26日,福建,南平市,1
1月26日,福建,宁德市,3
1月27日,山东,枣庄市,2
1月27日,山东,烟台市,4
1月27日,山东,青岛市,3
1月27日,山东,威海市,2
1月27日,山东,菏泽市,1
1月26日,新疆,乌鲁木齐市,1
1月26日,澳大利亚,澳大利亚,1
1月26日,北京,西城区,2
1月26日,北京,海淀区,1
1月26日,北京,大兴区,2
1月26日,上海,外地来沪,0
1月26日,泰国,泰国,1
1月27日,湖北,荆州市,0
1月23日,湖北,黄冈市,0
1月22日,湖北,黄冈市,0
1月27日,山东,青岛市,0
1月27日,台湾,台湾,1
1月27日,辽宁,丹东市,3
1月27日,广东,广州市,2
1月27日,广东,梅州市,2
1月27日,广东,中山市,1
1月27日,云南,丽江市,3
1月27日,云南,保山市,1
1月27日,云南,曲靖市,1
1月27日,云南,大理州,1
1月27日,云南,红河州,1
1月27日,海南,三亚市,1
1月27日,海南,儋州市,1
1月27日,青海,西宁市,2
1月27日,天津,河西区,2
1月27日,天津,河东区,2
1月27日,广东,深圳市,0
1月27日,福建,福州市,1
1月27日,福建,漳州市,1
1月27日,福建,莆田市,1
1月27日,北京,东城区,1
1月27日,北京,朝阳区,6
1月27日,北京,通州区,1
1月27日,柬埔寨,柬埔寨,1
1月27日,斯里兰卡,斯里兰卡,1
1月25日,辽宁,营口市,1
1月25日,马来西亚,马来西亚,1
1月25日,湖北,武汉市,46
1月25日,湖北,襄阳市,2
1月25日,湖北,十堰市,15
1月25日,湖北,宜昌市,19
1月25日,湖北,荆州市,23
1月25日,湖北,荆门市,17
1月25日,湖北,咸宁市,43
1月25日,湖北,孝感市,29
1月25日,湖北,随州市,31
1月25日,湖北,恩施州,6
1月25日,湖北,仙桃市,1
1月25日,湖北,天门市,2
1月25日,湖北,黄冈市,58
1月25日,北京,东城区,1
1月25日,北京,西城区,1
1月25日,北京,朝阳区,2
1月25日,北京,海淀区,2
1月25日,北京,丰台区,1
1月25日,北京,通州区,2
1月25日,北京,昌平区,2
1月25日,上海,上海市,7
1月25日,山东,淄博市,1
1月25日,山东,潍坊市,1
1月25日,山东,威海市,1
1月25日,山东,日照市,1
1月25日,山东,济宁市,2
1月25日,山东,德州市,2
1月25日,山东,临沂市,4
1月25日,湖南,湘西自治州,3
1月25日,湖南,长沙市,10
1月25日,湖南,株洲市,2
1月25日,湖南,湘潭市,1
1月25日,湖南,岳阳市,1
1月25日,湖南,常德市,4
1月25日,湖南,郴州市,2
1月25日,湖南,怀化市,3
1月25日,江苏,南京市,3
1月25日,江苏,无锡市,1
1月25日,江苏,苏州市,4
1月25日,江苏,南通市,1
1月25日,江苏,连云港市,2
1月25日,江苏,淮安市,1
1月25日,江苏,泰州市,1
1月25日,河南,安阳市,3
1月25日,河南,漯河市,3
1月25日,河南,郑州市,12
1月25日,河南,平顶山市,1
1月25日,河南,新乡市,2
1月25日,河南,三门峡市,1
1月25日,河南,周口市,1
1月25日,河南,驻马店市,5
1月25日,河南,南阳市,7
1月25日,河南,信阳市,17
1月25日,重庆,万州区,3
1月25日,重庆,大渡口区,2
1月25日,重庆,江北区,2
1月25日,重庆,渝北区,2
1月25日,重庆,大足区,1
1月25日,重庆,铜梁区,1
1月25日,重庆,忠县,2
1月25日,重庆,云阳县,2
1月25日,重庆,奉节县,2
1月25日,重庆,巫溪县,1
1月25日,浙江,杭州市,15
1月25日,浙江,宁波市,7
1月25日,浙江,温州市,8
1月25日,浙江,湖州市,1
1月25日,浙江,嘉兴市,4
1月25日,浙江,绍兴市,1
1月25日,浙江,金华市,1
1月25日,浙江,衢州市,1
1月25日,浙江,台州市,1
1月25日,浙江,丽水市,3
1月25日,广东,揭阳市,3
1月25日,广东,深圳市,7
1月25日,广东,汕头市,1
1月25日,广东,佛山市,1
1月25日,广东,惠州市,1
